Player,Pos,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Stanley Johnson,PF,1,2.7,0.6,1.6,0.4,1,0.3,0.4,0.4,1.9,2.3,1.2,0.6,0.3,0.7,1.8,2.9,4,4,4
Nikola Jokic,C,10.4,18.3,1.4,3.4,9,14.9,4,4.7,2.8,8.1,10.9,8.7,1.5,0.6,3.1,2.7,26.3,2,2,2
Derrick Jones Jr.,SF,2.9,6,0.9,2.7,2,3.3,1.2,1.8,1.6,2.6,4.2,0.8,0.7,1.1,0.6,2.4,7.8,1,4,1
Tyus Jones,PG,2.8,6.6,0.7,2.2,2.1,4.3,0.6,0.7,0.4,1.9,2.3,4.1,1.1,0.1,0.8,0.4,7,3,4,4
DeAndre Jordan,C,3.4,4.4,0,0,3.4,4.4,0.7,1.4,2,5.2,7.2,1.6,0.3,1.2,1.5,2.1,7.5,1,1,1
Cory Joseph,PG,2.7,5.9,0.7,2,2,3.9,1.1,1.3,0.6,1.8,2.4,2.8,0.9,0.2,1.2,2.2,7.2,4,4,4
Enes Kanter,C,5.1,8.4,0,0,5.1,8.4,1.9,2.4,4.3,7.4,11.7,1.3,0.5,0.7,1.2,2.6,12,1,1,1
Luke Kennard,SG,3.1,6.3,1.6,3.5,1.4,2.8,0.3,0.4,0.3,2.4,2.7,1.7,0.3,0.2,0.8,1.5,8.1,4,4,4
Furkan Korkmaz,SG,2.9,7.5,1.6,4.5,1.3,3,1.2,1.7,0.3,1.8,2,1.2,0.8,0.2,0.9,1.1,8.6,4,4,4
Kyle Kuzma,SF,4.9,11.2,2,5.6,2.9,5.6,0.8,1.3,1.8,4.9,6.8,1.7,0.4,0.6,1.8,1.7,12.6,1,3,1
Zach LaVine,SG,9.7,19.1,3.4,8,6.4,11.1,4.4,5.2,0.6,4.4,5,4.8,0.8,0.4,3.7,2.4,27.2,2,2,2
Jake Layman,SF,2.2,4.3,0.5,1.8,1.7,2.6,0.6,0.9,0.3,1.3,1.7,0.7,0.7,0.4,0.6,1,5.4,4,4,4
Damion Lee,SG,2.2,4.8,1.3,3.5,0.8,1.3,0.7,0.8,0.4,2.8,3.1,1.3,0.6,0.1,0.5,1.6,6.4,4,4,4
Alex Len,C,2.6,4.2,0.1,0.5,2.5,3.7,1,1.8,1,2.7,3.7,0.8,0.3,1.1,0.9,2.1,6.5,1,4,1
Kawhi Leonard,SF,9.4,18.3,1.9,4.9,7.5,13.4,5.1,5.8,1.2,5.5,6.7,5,1.8,0.4,1.9,1.7,25.8,2,2,2
Damian Lillard,PG,9,20.3,4.1,10.8,4.9,9.4,7.1,7.6,0.5,3.7,4.3,7.7,0.9,0.3,3.2,1.6,29.2,2,2,2
Kevon Looney,C,1.6,2.7,0.1,0.3,1.5,2.5,0.5,0.7,1.6,2.4,4,1.9,0.4,0.4,0.6,2,3.8,4,4,1
Brook Lopez,C,4.2,8.7,1.4,4.3,2.7,4.4,1.5,1.8,1.4,3.5,5,0.8,0.6,1.4,0.9,2.1,11.3,1,1,1
Robin Lopez,C,3.6,5.8,0.1,0.4,3.5,5.4,1.5,2.1,2.1,2,4.1,0.9,0.3,0.6,1.1,1.7,8.7,1,4,1
Kyle Lowry,PG,5.6,12.9,2.7,6.9,2.9,6.1,3,3.4,0.8,4.6,5.4,7.3,1,0.3,2.8,3.2,17,3,2,3
Timothé Luwawu-Cabarrot,SF,2.3,6.4,1.4,4.4,0.9,2,0.6,0.8,0.5,1.9,2.4,1.3,0.7,0.1,0.8,1.9,6.6,4,4,4
Théo Maledon,PG,3.4,8.8,1.7,4.7,1.6,4.1,1.3,1.6,0.4,3.1,3.5,3.3,0.9,0.1,2.1,2.1,9.7,3,3,3
Terance Mann,SG,2.4,4.9,0.4,1.2,1.9,3.7,1.1,1.4,0.9,2.9,3.8,1.4,0.4,0.2,0.6,1.8,6.3,4,4,1
Cody Martin,SF,1.5,3.4,0.3,1.1,1.2,2.3,0.5,0.8,0.8,1.7,2.5,1.4,0.6,0.2,0.6,0.9,3.8,4,4,4
Garrison Mathews,SG,1.9,4.3,1.5,3.5,0.4,0.8,1.4,1.6,0.3,1.2,1.5,0.5,0.6,0.1,0.2,1.8,6.6,3,4,4
Wesley Matthews,SG,1.5,4.2,1.1,3.3,0.3,0.9,0.5,0.6,0.3,1.3,1.7,1,0.6,0.3,0.4,1.4,4.6,4,4,4
Tyrese Maxey,SG,3,6.7,0.4,1.5,2.6,5.2,0.7,0.8,0.2,1.4,1.6,1.6,0.3,0.2,0.6,1.1,7.2,4,4,4
T.J. McConnell,PG,3.7,6.6,0.2,0.5,3.5,6,0.4,0.6,0.7,2.9,3.6,6.7,1.7,0.4,1.9,1.6,7.9,3,3,1
Jaden McDaniels,PF,2.5,5.7,1.1,3,1.4,2.7,0.4,0.8,0.8,2.8,3.6,1.1,0.5,1,0.7,2.5,6.6,1,4,1
Doug McDermott,PF,5.1,9.9,1.7,4.5,3.4,5.4,1.2,1.4,1,2.6,3.6,1.4,0.3,0.1,0.8,1.7,13.2,4,3,3
Khris Middleton,SF,7.6,15.4,2.2,5,5.4,10.4,3.1,3.5,0.8,5.2,5.9,5.5,1.1,0.2,2.8,2.4,20.4,2,2,3
Patty Mills,PG,4.3,10,2.7,6.9,1.6,3.1,1.2,1.3,0.3,1.4,1.7,2.5,0.6,0,0.9,1.3,12.4,3,3,3
Paul Millsap,PF,3.5,7,1.1,2.7,2.5,4.3,1.3,1.9,1.5,3.4,4.8,1.7,0.9,0.7,0.9,2.1,9.4,3,3,1
Shake Milton,SG,5.1,11.2,1,3.2,4,8,2.7,3.1,0.6,1.7,2.3,3,0.7,0.3,1.7,2.2,13.9,3,3,3
Donovan Mitchell,SG,8.8,20.3,3.4,8.6,5.4,11.6,4.7,5.6,1,3.5,4.5,5.4,1,0.3,2.8,2.2,25.8,2,2,2
Ja Morant,PG,6.7,15.1,0.9,3.5,5.8,11.6,4.4,5.9,0.9,2.6,3.5,7.4,0.9,0.2,3,1.5,18.8,2,2,2
Marcus Morris,PF,4.5,10,2.4,5.3,2.1,4.7,1.2,1.4,0.6,3.3,3.9,1,0.5,0.3,0.9,2,12.6,4,3,3
Markieff Morris,PF,2.6,6,1.2,3.4,1.4,2.6,0.7,0.9,0.8,3.9,4.7,1.1,0.3,0.3,0.7,1.8,7,4,4,4
Monte Morris,PG,4,8.4,1.1,3.1,2.9,5.4,1.3,1.6,0.2,1.9,2.2,3.4,0.7,0.3,0.7,1,10.3,3,4,4
Mychal Mulder,PG,1.2,3,1,2.6,0.2,0.4,0.2,0.4,0,0.8,0.9,0.4,0.2,0.2,0.2,0.7,3.7,4,4,4
Dejounte Murray,PG,6.6,14.4,0.9,2.9,5.7,11.5,1.6,2,0.7,6.2,6.9,5.2,1.5,0.1,1.7,2.1,15.7,2,2,3
Jamal Murray,PG,7.9,16.5,2.7,6.6,5.2,9.9,2.7,3.1,0.8,3.3,4,4.8,1.3,0.3,2.2,2,21.3,3,2,3
Sviatoslav Mykhailiuk,SG,2.7,6.8,1.6,4.8,1.1,2,0.7,0.9,0.3,2,2.3,1.6,0.8,0.2,1.3,0.8,7.7,4,4,4
Raul Neto,PG,3.1,7.1,0.9,2.7,2.2,4.5,0.9,1.1,0.4,1.9,2.3,2.2,1.1,0.1,0.8,1.6,8.1,4,4,4
Georges Niang,PF,1.9,4.6,1.3,3.3,0.6,1.3,0.1,0.1,0.3,1.8,2.1,0.7,0.3,0.1,0.6,1.5,5.3,4,4,4
Nerlens Noel,C,2.1,3.5,0,0,2.1,3.5,0.6,1,2.2,3.9,6.1,0.6,1,2,1.2,2.7,4.8,1,1,1
Kendrick Nunn,PG,5.2,11.4,2,5.4,3.2,5.9,1,1.1,0.4,2.7,3.1,2.6,1,0.2,1.5,1.8,13.5,3,3,3
Royce O'Neale,SF,2.4,5.5,1.5,4,0.8,1.5,0.6,0.7,1.2,5.4,6.6,2.5,0.8,0.5,1.1,2.8,7,4,3,1
Semi Ojeleye,PF,1.7,4.3,1.2,3.1,0.5,1.2,0.6,0.8,0.6,2.2,2.8,0.8,0.3,0,0.4,1.1,5.3,4,4,4
Josh Okogie,SG,1.5,4.2,0.4,1.8,1.1,2.5,1.4,1.7,0.9,1.6,2.5,1.1,0.9,0.4,0.7,2.1,4.7,3,4,4
Isaac Okoro,SG,3,7,0.9,2.8,2.1,4.2,1.2,1.8,0.8,2,2.8,1.7,1,0.4,1.5,2.8,8.1,3,4,4
Kelly Olynyk,PF,4.1,9,1.8,5.6,2.3,3.4,1,1.2,0.9,5.3,6.2,2.2,1,0.7,1.3,2.9,11.1,3,3,1
Cedi Osman,SF,3.4,9.8,1.7,5.6,1.7,4.2,1.2,1.5,0.6,2.7,3.3,2.6,0.9,0.2,1,1.8,9.7,3,3,3
Kelly Oubre Jr.,SF,5.7,13.2,1.6,5.1,4.1,8,2.1,3,1.5,4.6,6,1.4,1.1,0.8,1.2,2.3,15.1,3,3,1
Eric Paschall,PF,3.7,7.5,0.4,1.4,3.3,6.2,1.6,2.3,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5,4,4,3
Chris Paul,PG,6.2,12.6,1.4,3.7,4.8,8.9,2.6,2.8,0.4,4.3,4.7,8.8,1.4,0.2,2.3,2.4,16.3,2,2,3
Cameron Payne,PG,2.5,5.4,0.9,2.4,1.6,3.1,0.7,0.7,0.2,2.1,2.3,3.6,0.6,0.2,1,1.7,6.7,4,4,4
Elfrid Payton,PG,4.9,11.2,0.5,1.9,4.4,9.4,1.5,2.2,1.3,2.4,3.7,3.5,0.8,0.2,1.8,2,11.8,3,3,3
Mason Plumlee,C,4.1,6.8,0,0.1,4.1,6.7,2.1,3.1,2.6,6.6,9.2,3.5,0.8,0.9,1.9,3.4,10.3,1,1,1
Jakob Poeltl,C,3.6,5.8,0,0,3.6,5.8,0.7,1.8,3.2,4.8,8,1.8,0.6,1.6,1.3,2.2,8,1,1,1
Michael Porter Jr.,SF,6.5,12,2.4,5.4,4,6.6,1.5,2,1.8,5.8,7.6,1,0.6,0.9,1.1,2.1,17,3,3,1
Bobby Portis,C,4.7,8.7,1.1,2.3,3.6,6.3,0.7,0.9,1.7,5.3,6.9,1,0.8,0.4,0.8,1.7,11.1,3,1,1
Norman Powell,SG,6.6,13.4,2.7,6.3,3.9,7.1,3.5,4.1,0.6,2.5,3,1.8,1.2,0.2,1.8,2.3,19.4,2,3,3
Payton Pritchard,SG,2.6,5.8,1.3,3.3,1.3,2.5,0.5,0.5,0.5,1.7,2.2,1.9,0.6,0.2,0.9,1.8,7,4,4,4
Immanuel Quickley,PG,3.7,9.7,1.8,4.9,1.9,4.8,2.7,3,0.4,1.9,2.3,2.2,0.5,0.2,0.9,1.9,12,3,3,3
Julius Randle,PF,8.2,17.8,2,5,6.2,12.8,4.5,5.6,1.3,9.4,10.7,6,0.9,0.3,3.4,3.1,22.9,2,2,2
Naz Reid,C,4.2,8,0.8,2.3,3.4,5.7,1.8,2.5,1.1,3.4,4.5,1.1,0.6,1.1,1,2.6,11,1,1,1
Josh Richardson,SG,4.5,10.4,1.6,4.9,2.9,5.5,1.9,2.1,0.8,2.8,3.6,2.8,0.9,0.4,1.5,2.5,12.4,3,3,3
Duncan Robinson,SF,4.4,10,3.5,8.5,0.9,1.4,0.9,1.1,0.1,3.7,3.8,1.7,0.5,0.2,1.2,2.5,13.1,3,3,3
Isaiah Roby,PF,3.4,6.8,0.5,1.6,2.9,5.2,1.5,2.2,1.6,4.1,5.7,1.8,0.8,0.7,1.8,2.6,8.9,4,1,1
Terrence Ross,SG,5.7,14,2.1,6.1,3.6,7.9,2.7,3,0.3,3.1,3.5,2.4,1.1,0.5,1.7,2,16.2,3,3,3
Terry Rozier,SG,7.2,15.6,3.3,8.1,3.9,7.5,2.6,3.1,0.5,3.5,4.1,3.5,1.3,0.4,1.9,1.8,20.3,3,3,3
Ricky Rubio,PG,2.7,7.1,0.8,2.8,1.9,4.4,2.2,2.6,0.4,2.8,3.2,6.8,1.4,0.1,1.9,2.2,8.4,3,3,1
Domantas Sabonis,PF,7.5,14.3,0.8,2.5,6.7,11.8,4.1,5.8,2.6,8.8,11.3,6,1.2,0.6,3.4,3.4,19.9,2,2,2
Tomáš Satoranský,SG,3.1,5.9,0.9,2.1,2.2,3.8,1.2,1.3,0.6,2.1,2.7,4.9,0.8,0.2,1.7,1.6,8.2,3,4,4
Dennis Schröder,SG,5.2,12.1,1.1,3.2,4.1,8.9,3.7,4.4,0.5,3,3.5,5.2,1.2,0.2,2.8,2.7,15.2,2,2,3
Collin Sexton,SG,8.8,18.4,1.6,4.5,7.2,13.9,4.7,5.8,0.8,2.1,2.9,4.2,1.2,0.1,2.7,2.7,23.9,2,2,2
Landry Shamet,SG,2.7,6.7,1.9,5,0.7,1.7,0.9,1.1,0.2,1.6,1.8,1.1,0.5,0.1,0.7,1.3,8.2,4,4,4
Pascal Siakam,PF,7.4,16.3,1.2,4.3,6.1,12,4.6,5.5,1.8,5.5,7.3,4.6,1.1,0.6,2,3.2,20.6,2,2,2
Ben Simmons,PG,5.8,10.7,0.1,0.2,5.8,10.5,3.4,5.4,1.7,6.1,7.8,7.2,1.5,0.6,3.4,3.1,15.2,2,2,2
Anfernee Simons,SG,2.7,6.6,2,4.7,0.7,1.9,0.7,0.8,0.2,2.1,2.3,1.4,0.2,0.1,0.8,1.7,8,4,4,4
Tony Snell,SG,1.9,3.7,1.4,2.5,0.5,1.3,0.3,0.3,0.3,2,2.3,1.3,0.2,0.3,0.5,1.6,5.6,4,4,4
Isaiah Stewart,C,2.8,4.9,0.2,0.5,2.6,4.4,0.7,1.1,2.2,3.7,5.8,0.8,0.5,1,0.9,2.5,6.5,1,1,1
Edmond Sumner,SG,2.3,4.5,0.6,1.5,1.7,2.9,1,1.3,0.4,1.3,1.7,0.7,0.5,0.1,0.9,1.4,6.2,4,4,4
Jae'Sean Tate,SF,4.3,8.2,0.8,2.6,3.5,5.7,1.4,1.9,1.9,3.5,5.4,2,1.1,0.6,1.2,3.1,10.8,3,1,1
Jayson Tatum,SF,9.2,20.4,2.8,7.5,6.4,12.8,3.8,4.4,0.7,6.3,7,4.3,1.3,0.4,2.5,1.8,25.1,2,2,2
Jeff Teague,PG,2.3,5.4,0.8,1.6,1.5,3.8,1.5,1.7,0.3,1.4,1.6,2.2,0.7,0.2,1.1,1.2,6.8,3,4,4
Garrett Temple,SG,3,7.1,1.2,3.7,1.8,3.4,0.8,1,0.6,2.5,3.1,2,0.9,0.5,1,2.3,8.1,4,4,4
Daniel Theis,C,3.7,6.7,0.8,2.2,2.9,4.5,1.1,1.6,1.2,3.9,5.1,1.6,0.6,1,1,2.7,9.2,1,1,1
Tristan Thompson,PF,3.3,6.2,0,0.1,3.3,6.1,1.4,2.3,3.1,5.2,8.4,1,0.4,0.4,1,2.1,7.9,1,1,1
Matisse Thybulle,SG,1.4,3.5,0.7,2.2,0.8,1.4,0.2,0.3,0.5,1.4,1.8,1,1.5,1,0.4,2,3.7,3,4,4
Xavier Tillman Sr.,PF,2.7,5.1,0.3,1.1,2.4,3.9,0.6,0.9,1.2,3,4.2,1.3,0.8,0.6,0.7,2.2,6.3,4,4,1
Obi Toppin,PF,1.7,3.6,0.4,1.5,1.3,2.2,0.3,0.4,0.4,1.7,2.1,0.5,0.3,0.3,0.5,1,4.2,4,4,4
Gary Trent Jr.,SG,5.4,13,2.9,7.4,2.5,5.7,1.3,1.7,0.5,1.9,2.4,1.4,0.9,0.2,0.7,1.6,15.1,3,3,3
Myles Turner,C,4.4,9.2,1.5,4.4,3,4.8,2.3,3,1.3,5.1,6.4,1,0.9,3.5,1.4,3.5,12.7,1,1,1
Jonas Valanciunas,C,6.7,11.9,0.3,1,6.4,11,2.6,3.4,4.1,8.3,12.4,1.8,0.6,0.6,1.8,3,16.3,1,1,1
Denzel Valentine,SG,2.8,7.3,1.4,4.2,1.4,3.1,0.3,0.3,0.5,3.3,3.8,1.7,0.6,0,0.6,1.1,7.2,3,4,4
Jarred Vanderbilt,PF,2.1,3.5,0,0.1,2.1,3.5,0.9,1.6,1.5,3.7,5.2,1.3,0.9,0.7,1,1.9,5.2,4,4,1
Fred VanVleet,SG,6.5,16.5,3.3,9,3.1,7.5,3.5,4,0.6,3.6,4.2,6.1,1.7,0.8,2,2.4,19.8,2,2,3
Devin Vassell,SF,1.8,4.5,0.9,2.3,0.9,2.2,0.6,0.7,0.4,2.5,2.9,0.9,0.9,0.3,0.4,1.4,5.2,4,4,4
Nikola Vucevic,C,9.8,20.3,2.5,6.3,7.3,14,2.1,2.6,2,9.6,11.6,3.8,0.9,0.7,1.8,1.9,24.3,2,2,2
Dean Wade,PF,1.7,4.1,1,2.7,0.8,1.4,0.4,0.5,0.5,2.4,2.9,1,0.3,0.3,0.4,1.1,4.8,4,4,4
Lonnie Walker,SG,4.4,10.4,1.7,4.8,2.7,5.6,1,1.2,0.2,2.5,2.8,1.6,0.5,0.4,1,2,11.5,3,3,3
Brad Wanamaker,PG,1.7,4.6,0.4,1.6,1.4,3,1.3,1.5,0.3,1.4,1.7,2.6,0.7,0.1,1,1.5,5.1,4,4,4
P.J. Washington,PF,4.1,9.7,1.3,3.7,2.8,6,1.9,2.4,1.5,5,6.5,2.7,1,1.3,2.2,2.7,11.5,3,1,1
Russell Westbrook,PG,8.3,19,1.4,4.3,6.9,14.7,3.9,6.3,1.6,8.9,10.5,10.6,1.2,0.4,5,2.8,21.8,2,2,2
Coby White,PG,5.4,13.2,2.2,6.3,3.3,7,1.7,1.9,0.5,4,4.5,4.6,0.5,0.2,2.2,2.5,14.8,3,3,3
Andrew Wiggins,PF,6.7,14.3,2.1,5.3,4.7,9,2.5,3.5,1,3.8,4.8,2.3,0.9,1,1.9,2.1,18,3,3,1
Grant Williams,PF,1.7,3.8,0.8,2,0.9,1.8,0.4,0.8,0.9,2.1,3,1,0.5,0.4,0.8,2.6,4.5,4,4,4
Kenrich Williams,PF,3.1,5.8,0.7,1.6,2.4,4.1,0.5,0.9,1.3,2.9,4.2,2.1,0.7,0.2,1,2,7.5,4,4,1
Lou Williams,PG,4.4,10.5,1.1,2.7,3.3,7.7,2.3,2.7,0.4,1.8,2.1,3.4,0.9,0.1,1.6,1,12.3,3,3,4
Patrick Williams,PF,3.8,8,0.8,2.1,3,5.8,1.3,1.7,0.9,3.8,4.8,1.3,0.8,0.7,1.4,2,9.8,4,3,1
Robert Williams,C,3.5,4.9,0,0,3.5,4.9,1,1.5,2.6,4.3,6.9,1.7,0.9,1.8,1,2.1,8,1,1,1
Zion Williamson,PF,10,16.1,0.2,0.5,9.8,15.6,6.1,8.6,2.6,4.4,7,3.5,1,0.7,2.5,2.2,26.3,2,2,2
James Wiseman,C,4.8,9.5,0.3,1,4.5,8.5,1.5,2.3,1.5,4.5,5.9,0.7,0.3,1,1.6,3.2,11.5,1,1,1
Delon Wright,SG,3.6,7.9,0.9,2.5,2.8,5.4,2,2.5,1,3.4,4.3,4.6,1.5,0.5,1.3,1.2,10.1,3,3,1
Thaddeus Young,PF,5.7,9.7,0.1,0.6,5.6,9.1,1,1.6,2.5,4,6.4,4.4,1.3,0.6,2,2.5,12.5,3,1,1
Trae Young,PG,7.6,17.7,2.4,6.5,5.2,11.2,7.5,8.6,0.7,3.2,3.9,9.5,0.8,0.2,4.3,2,25.1,2,2,2
Ivica Zubac,C,3.4,5.3,0,0.1,3.4,5.2,1.9,2.3,2.7,4.6,7.3,1.1,0.4,0.9,1.1,2.6,8.7,1,1,1
